,0
1,clear
1,realistic
1,dark
1,female
1,outline
1,blurred
1,dark
1,grassy background
1,cold
1,dark
1,long
1,straight
1,smooth
1,shiny
1,attractive
1,female
1,trees
1,animals
1,branches
1,beauty
1,empty
1,clean
1,no jewels
1,skin
1,dark
1,classic
1,garment
1,covering the body
1,silk
1,maternal
1,woman
1,body part
1,resting
1,clean
1,resembles a hill or mountain
1,embroidered
1,fabric
1,arm
1,clothing
1,wood
1,feminine
1,body part
1,woman
1,hand
1,clothing
1,background
1,trees
1,fresh
1,tasty
1,background
1,water
1,leaves
1,branch
1,roots
1,nature
1,background
1,bushes
1,wrinkles
1,face
1,fingers
1,arm
1,body
1,anatomy
1,soft
1,clean
1,female
1,outline
1,body part
1,woman
1,mona lisa
1,murky
1,bodied of water between land mass
1,lace
1,clothes decoration
1,neckline
1,background
1,dirt
1,fragile
1,crossed
1,body part
1,a colletive of background scenery of trees or a forest
1,third finger
1,second finger
1,fourth finger
1,second finger
1,third finger
1,clear
1,realistic
1,female
1,background
1,arches
1,smile
1,enigmatic
1,lips
1,close
1,fourth finger
1,finger
1,moon shaped
1,moon shaped
1,round
1,round
2,dark
2,triangular
2,smooth
2,city
2,horizontal
2,striped
2,swirly
2,dashed
2,breeze
2,gust
2,circular shape
2,smooth
2,city
2,shining
2,brush strokes
2,pale
2,glow of the moon
2,moody
2,night sky
2,hill
2,mountain
2,mound
2,obstructed
2,dark
2,uneven
2,dark
2,discontinuous
2,water like
2,curly
2,light
2,heat
2,night
2,star
2,steeple
2,tall
2,simple
2,brush strokes
2,dark
2,round
2,bushy
2,round
2,background
2,sky
2,shining
2,night sky
2,oil paint
2,light
2,heat
2,space
2,dark
2,rural
2,background
2,village
2,leaf
2,windows
2,pointed roof
2,dark
2,rural
2,village
2,i am not sure but looks good
2,round
2,painting
2,smooth
2,triangles
2,two visible windows
2,city
2,round
2,background
2,sky
2,round
2,dark
2,dark
2,dwelling
2,sleep
2,round shape
2,city
2,round
2,background
2,sky
2,triangular
2,glowing
2,shining
2,pale
2,magical
2,round
2,simple
2,sky
2,little
2,lit
2,unclear
2,distant
2,bluish
2,next to church
2,comfort
2,home
2,round
2,round
2,comfort
2,home
2,triangle
2,smooth
2,city
2,triangular
2,obscured partially
2,comfort
2,sweet
2,home
2,partial
2,near tree
2,red striped roof
2,dark
2,wooden made
2,glass
2,comfort
2,home
2,dark
2,wooden made
2,rectangular
2,dark
2,distant
2,wooden like
2,lit
2,distant
2,wooden like
2,deep gold
4,shadows
4,female dress
4,headwear
4,keeps hair in place
4,cloth
4,head wrap
4,silk dress or gown
4,facing viewer
4,covered by dress
4,smile
4,pointed nose
4,famous person
4,portrait
4,focus of the painting
4,relaxed
4,hat
4,body part
4,girl
4,darker
4,binding
4,cloth
4,soft
4,cloth
4,face
4,girl
4,head
4,skin
4,girl
4,body part
4,jaw
4,female
4,turned
4,slim
4,turned
4,cheekbone
4,smooth
4,female
4,smile
4,cotten
4,female
4,lips
4,semi opened
4,smile
4,open
4,jewel
4,silver
4,round
4,shines
4,attractive
4,full
4,smooth
4,soft
4,soft
4,dark
4,staring
4,dark
4,staring
4,thin
4,thin
4,round
4,smile
5,confuse
5,looking
5,surprise
5,walking
5,looking
5,adult
5,curious
5,big
5,confuse
5,anguish
5,sadness
5,despair
5,death
5,heart break
5,turmoil
5,surprise
5,big eye
5,angry
5,mean
5,strong
5,scared
5,mouth open
5,scared
5,rectangular
5,monochrome
5,tilted
5,worried
5,scared
5,tear drop shaped
5,anguish
5,death
5,darkness
5,disturbing
5,beheaded
5,severed
5,eye shaped
5,spiky edges
5,broken
5,damaged
5,shattered
5,broken dagger
5,pale
5,square
5,centrally positioned
5,bricks
5,hair
5,flowing
5,thick
5,bushy
5,angular
5,monochrome
5,arm
5,body
5,anatomy
5,foot
5,toes
5,shaded
5,extended
5,wiry
5,horse tail
5,full of lines
5,strange shape
5,extended in the floor
5,abstract
5,big
5,dead
5,overturned
5,children
5,quadrilateral
5,rectangle
5,open
5,toothy
5,screaming
5,rectangular
5,painful
5,twisted
5,teeth
5,pointy
5,spike
5,horse
5,foot
5,metal
5,tilted
5,nose
5,bull
5,2d
5,nostrils
5,half-star shaped.
5,arrow
5,lightbulb
5,2d
5,vague
5,basic
5,simple.
5,teardrop shaped
5,floor
5,beauty
5,pointed
5,bone
5,roughly oval
5,foot
5,leg
5,round
5,spike
5,point
5,geometry
5,math
5,scream
5,strange
5,vitreous
5,deadly look
5,vertical position
5,open
5,stylized
5,gaze
5,scared
5,bulging
5,goggle
5,looking helpless
5,eyeball
5,basic
5,2d
5,figure
5,misplaced
5,abstract
5,vague
5,unclear
5,open
5,stylized
5,circular
5,closed
5,thin
9,elderly man
9,stern
9,bald
9,angry
9,glasses
9,religious
9,portrait
9,female
9,severe
9,rural clothes
9,farmer
9,severe
9,foggy
9,clouds
9,air
9,long sleeves
9,thick
9,patterned
9,smart
9,conservative
9,clean.
9,dungarees
9,overalls
9,denim
9,overalls
9,old
9,worn
9,dingy
9,work outfit
9,farmer clothes
9,body part
9,face is a important to human life
9,tool
9,steel
9,trident
9,buttons
9,forehead the forehead is an area of the head bounded by three features
9,the edge of the area where hair on the scalp grows.
9,shingles
9,roof
9,dark
9,wood
9,glass/wood
9,attic
