,img_name,worker_id,img_desc
0,1.jpg,A1191P6AYGGL3O,
1,1.jpg,A1CJ8CLM7987EQ,
2,1.jpg,A1SCA9REYZD5W2,Mona Lisa Painting ; Leonardo da Vinci ; Mona Lisa's Smile ; Black Beauty ; Human Optical Illusion ; Famous Painting
3,1.jpg,A2E9KS4RK6T8CW,"interesting, beautiful, lovely, awesome, great"
4,1.jpg,A2HC04434S9TP0,"painting, famous, forest, lake, dark, woman"
12,1.jpg,A2M3QMJC99DERS,"woman, smile, long hair, brown, calm"
13,1.jpg,A2NV315LQL2QZ7,"gray,classic, art, trees,woman"
14,1.jpg,A2NVNFIOKLEEGY,"hand
nose
head
dress
mountain
"
15,1.jpg,A2YCAVLQK6YRH9,"really complicated, but it's mona lisa. "
16,1.jpg,A3RERXGQS1129K,"smiling woman, forerest, mountain scenory, dark backgorund,and sophistocated pose. "
17,1.jpg,AIN29LNXRARXY,"portrait, lady, landscape background, enigmatic expression, Gioconda, Leonardo Da Vinci, sixteenth century, natural light"
18,1.jpg,AOV97Z3YMKLAQ,"Mona Lisa, Leonardo da Vinci, Art, Painting, Famous"
21,1.jpg,WorkerID,"Expression,Brightness,shape,structure,amazing"
22,1.jpg,ZCgDVlkp5,
23,1.jpg,ZCgDVlkp5,"Mona Lisa, "
24,11.jpg,A13JDB1LY9ZTQY,"romantic, soft, nighttime, outdoor, urban"
25,11.jpg,A1CJ8CLM7987EQ,"night, restaurant, eating, warm"
27,11.jpg,A1Q995BGGPBDMB,"night time, cafe, romantic
"
28,11.jpg,A267H808C339ZQ,WALL WINDOWS CHAIR DESK AND TREE
29,11.jpg,A2HC04434S9TP0,"night, fun, city, bar, drinks"
30,11.jpg,A2LD0G04R6MNX7,peoples eating dinner in the restaurant
31,11.jpg,A2MOY7J4GG5CW8,"night, old, grainy, vertical, urban, 2-d"
33,11.jpg,A2NVNFIOKLEEGY,"house
tree
street
door
window


"
34,11.jpg,A2OMYDY8G8PNJE,"night, street, outside, patio, shop"
35,11.jpg,A35Q0ZG3C7ZFP,"table,chair,restaurant,old man,lady,tree,house,"
36,11.jpg,A3EQKTEL74N09A,"Night, town, restaurant, patio, stars, cobblestone, cafe, gathering, tree"
38,11.jpg,A3O9QZA6B3CY7U,road and four peoples
39,11.jpg,A3O9QZA6B3CY7U,A3O9QZA6B3CY7U
41,11.jpg,A3O9QZA6B3CY7U,http://ec2-18-217-59-91.us-east-2.compute.amazonaws.com//LabelMeAnnotationTool/tool.html?collection=art&mode=mt&folder=art&image=11.jpg&N=5&viewobj=e&username=A3O9QZA6B3CY7U
42,11.jpg,A3O9QZA6B3CY7U,ec2-18-217-59-91
43,11.jpg,A3O9QZA6B3CY7U,zcdgvlkpd
44,11.jpg,A3O9QZA6B3CY7U,ZCCGDVLKPV5
45,11.jpg,A3O9QZA6B3CY7U,ZCgDVLKPV5
46,11.jpg,A3O9QZA6B3CY7U,ZCgDVLKP5
47,11.jpg,A3O9QZA6B3CY7U,ZCgDVlKP5
48,11.jpg,A3O9QZA6B3CY7U,ZCgDVlKp5
49,11.jpg,A3O9QZA6B3CY7U,road and peolpe
50,11.jpg,A3TAM79PCXOLXI,"Vague, dining area with tables and chairs, starry night, trees and shops"
51,11.jpg,AIN29LNXRARXY,"night, nightlife, outdoor, cafè, stars, street"
56,11.jpg,WorkerIDAXPUKBI6UNZY,A ONE MAN WAS AT WORKING IN DINING HALL 
57,11.jpg,adam.kerr27@yahoo.com,"Van Gogh, vibrant color, french, restaurant/bar, dining"
58,11.jpg,lpriyamvada@gmail.com,
59,17.jpg,A115BHSWY8R1KU,"sweet, couple, family, victorian, romantic"
61,17.jpg,A16HYGH5YO5EAF,"pregnant women, dog, ,man, handshake, room, mirror, shoes, window, open window, door, green dress, black dress, wall hanging, hat, ZCgDVLkp6"
62,17.jpg,A16HYGH5YO5EAF,"pregnant women, dog, ,man, handshake, room, mirror, shoes, window, open window, door, green dress, black dress, wall hanging, hat"
63,17.jpg,A1CJ8CLM7987EQ,"greeting, religious, dog, dark and light"
64,17.jpg,A1GUNTMI2Y61IW,"pregnant woman, bedroom, tranquility, peace, blessing"
65,17.jpg,A1ZV750GWIA00,"saturated, old, fashion, dog, bedroom"
66,17.jpg,A2HC04434S9TP0,
67,17.jpg,A2NVNFIOKLEEGY,"dog
dress
cap
room
window"
68,17.jpg,A2OMYDY8G8PNJE,"people, intimate, bedroom, detailed, realistic"
69,17.jpg,A396GA8SHS2L41,"fanciful, capricious, medieval, gorgeous, realistic"
72,17.jpg,A3KB2DY7SADI3Z,man with pregnant lady with their pet dog 
74,17.jpg,A3NTSR7Z32TDOE,"peaceful, creepy, old, dark, gloomy"
75,17.jpg,A3TAM79PCXOLXI,"couple in bedroom with dog. Expensive room, chandelier, mirror."
76,17.jpg,AIN29LNXRARXY,
78,17.jpg,AOV97Z3YMKLAQ,"pregnante, women, painting, art, middle ages"
79,17.jpg,AOV97Z3YMKLAQ,
81,17.jpg,AOV97Z3YMKLAQ,"painting, couple, art, classic, oil paint"
82,17.jpg,parulsharmab91@gmail.com,
83,17.jpg,parulsharmab91@gmail.com,bedroom scene
86,18.jpg,A1CJ8CLM7987EQ,"abstract, painting, naked, people, poses"
88,18.jpg,A1J6BOZEB8EADQ,"scared, confused, imaginative, creative, inspired"
89,18.jpg,A1O39KN3X6AEG7,"four women and a weird man, not many clothes
"
